pulse1,pulse2,timestamp,syncpulse,state,trialtype,trialstarttime,bpod_time_ms,lickframe
0,0,17:52:51.8071168,None,None,None,,,0
0,0,17:52:51.8407808,None,None,None,,,0
0,0,17:52:51.8750080,None,None,None,,,0
0,0,17:52:51.9075072,None,None,None,,,0
0,0,17:52:51.9408256,None,None,None,,,0
0,0,17:52:51.9738112,None,None,None,,,0
0,0,17:52:52.0071168,None,None,None,,,0
0,0,17:52:52.0415744,None,None,None,,,0
0,0,17:52:52.0742400,None,None,None,,,0
0,0,17:52:52.1071360,None,None,None,,,0
0,0,17:52:52.1408128,None,None,None,,,0
0,0,17:52:52.1741440,None,None,None,,,0
0,0,17:52:52.2071552,None,None,None,,,0
0,0,17:52:52.2408320,None,None,None,,,0
0,0,17:52:52.2749056,None,None,None,,,0
0,0,17:52:52.3071616,None,None,None,,,0
0,0,17:52:52.3405184,None,None,None,,,0
0,0,17:52:52.3738496,None,None,None,,,0
0,0,17:52:52.4086016,None,None,None,,,0
0,0,17:52:52.4408192,None,None,None,,,0
0,0,17:52:52.4741760,None,None,None,,,0
0,0,17:52:52.5074304,None,None,None,,,0
0,0,17:52:52.5408640,None,None,None,,,0
0,0,17:52:52.5741696,None,None,None,,,0
0,0,17:52:52.6076672,None,None,None,,,0
0,0,17:52:52.6404608,None,None,None,,,0
0,0,17:52:52.6743168,None,None,None,,,0
0,0,17:52:52.7076096,None,None,None,,,0
0,0,17:52:52.7405056,None,None,None,,,0
0,0,17:52:52.7738240,None,None,None,,,0
0,0,17:52:52.8071552,None,None,None,,,0
0,0,17:52:52.8419072,None,None,None,,,0
0,0,17:52:52.8738560,None,None,None,,,0
0,0,17:52:52.9071232,None,None,None,,,0
0,0,17:52:52.9408640,None,None,None,,,0
0,0,17:52:52.9742080,None,None,None,,,0
0,0,17:52:53.0073472,None,None,None,,,0
0,0,17:52:53.0406272,None,None,None,,,0
0,0,17:52:53.0740096,None,None,None,,,0
0,0,17:52:53.1077248,None,None,None,,,0
0,0,17:52:53.1406976,None,None,None,,,0
0,0,17:52:53.1740160,None,None,None,,,0
0,0,17:52:53.2076288,None,None,None,,,0
0,0,17:52:53.2418560,None,None,None,,,0
0,0,17:52:53.2741888,None,None,None,,,0
0,0,17:52:53.3076352,None,None,None,,,0
0,0,17:52:53.3409408,None,None,None,,,0
0,0,17:52:53.3742208,None,None,None,,,0
0,0,17:52:53.4073600,None,None,None,,,0
0,0,17:52:53.4406656,None,None,None,,,0
0,0,17:52:53.4740224,None,None,None,,,0
0,0,17:52:53.5073152,None,None,None,,,0
0,0,17:52:53.5406464,None,None,None,,,0
0,0,17:52:53.5748992,None,None,None,,,0
0,0,17:52:53.6073728,None,None,None,,,0
0,0,17:52:53.6407040,None,None,None,,,0
0,0,17:52:53.6740480,None,None,None,,,0
0,0,17:52:53.7080064,None,None,None,,,0
0,0,17:52:53.7410560,None,None,None,,,0
0,0,17:52:53.7739904,None,None,None,,,0
0,0,17:52:53.8073984,None,None,None,,,0
0,0,17:52:53.8409984,None,None,None,,,0
0,0,17:52:53.8743936,None,None,None,,,0
0,0,17:52:53.9077248,None,None,None,,,0
0,0,17:52:53.9410432,None,None,None,,,0
0,0,17:52:53.9741056,None,None,None,,,0
0,0,17:52:54.0079360,None,None,None,,,0
0,0,17:52:54.0407680,None,None,None,,,0
0,0,17:52:54.0744064,None,None,None,,,0
0,0,17:52:54.1077888,None,None,None,,,0
0,0,17:52:54.1410816,None,None,None,,,0
0,0,17:52:54.1745152,None,None,None,,,0
0,0,17:52:54.2074496,None,None,None,,,0
0,0,17:52:54.2411136,None,None,None,,,0
0,0,17:52:54.2744576,None,None,None,,,0
0,0,17:52:54.3086720,None,None,None,,,0
0,0,17:52:54.3411200,None,None,None,,,0
0,0,17:52:54.3744512,None,None,None,,,0
0,0,17:52:54.4073984,None,None,None,,,0
0,0,17:52:54.4411136,None,None,None,,,0
0,0,17:52:54.4744704,None,None,None,,,0
0,0,17:52:54.5074816,None,None,None,,,0
0,0,17:52:54.5413504,None,None,None,,,0
0,0,17:52:54.5745408,None,None,None,,,0
0,0,17:52:54.6075008,None,None,None,,,0
0,0,17:52:54.6408448,None,None,None,,,0
0,0,17:52:54.6741632,None,None,None,,,0
0,0,17:52:54.7081344,None,None,None,,,0
0,0,17:52:54.7408640,None,None,None,,,0
0,0,17:52:54.7745280,None,None,None,,,0
0,0,17:52:54.8076544,None,None,None,,,0
0,0,17:52:54.8409600,None,None,None,,,0
0,0,17:52:54.8748544,None,None,None,,,0
0,0,17:52:54.9076224,None,None,None,,,0
0,0,17:52:54.9409152,None,None,None,,,0
0,0,17:52:54.9742592,None,None,None,,,0
0,0,17:52:55.0083072,None,None,None,,,0
0,0,17:52:55.0413440,None,None,None,,,0
0,0,17:52:55.0742912,None,None,None,,,0
0,0,17:52:55.1076224,None,None,None,,,0
0,0,17:52:55.1409536,None,None,None,,,0
0,0,17:52:55.1749504,None,None,None,,,0
0,0,17:52:55.2076544,None,None,None,,,0
0,0,17:52:55.2409856,None,None,None,,,0
0,0,17:52:55.2743168,None,None,None,,,0
0,0,17:52:55.3078016,None,None,None,,,0
0,0,17:52:55.3413504,None,None,None,,,0
0,0,17:52:55.3742976,None,None,None,,,0
0,0,17:52:55.4077568,None,None,None,,,0
0,0,17:52:55.4409984,None,None,None,,,0
0,0,17:52:55.4749312,None,None,None,,,0
0,0,17:52:55.5083136,None,None,None,,,0
0,0,17:52:55.5409664,None,None,None,,,0
0,0,17:52:55.5744000,None,None,None,,,0
0,0,17:52:55.6077056,None,None,None,,,0
0,0,17:52:55.6416512,None,None,None,,,0
0,0,17:52:55.6743808,None,None,None,,,0
0,0,17:52:55.7077760,None,None,None,,,0
0,0,17:52:55.7410560,None,None,None,,,0
