,pulse1,pulse2,timestamp,syncpulse,state,trialtype,trialstarttime
0,0,0,14:47:53.6313216,None,None,None,None
1,0,0,14:47:53.6636160,None,None,None,None
2,0,0,14:47:53.6968832,None,None,None,None
3,0,0,14:47:53.7302272,None,None,None,None
4,0,0,14:47:53.7637120,None,None,None,None
5,0,0,14:47:53.7970816,None,None,None,None
6,0,0,14:47:53.8304256,None,None,None,None
7,0,0,14:47:53.8637184,None,None,None,None
8,0,0,14:47:53.8969088,None,None,None,None
9,0,0,14:47:53.9305728,None,None,None,None
10,0,0,14:47:53.9637120,None,None,None,None
11,0,0,14:47:53.9968768,None,None,None,None
12,0,0,14:47:54.0303360,None,None,None,None
13,0,0,14:47:54.0640896,None,None,None,None
14,0,0,14:47:54.0968960,None,None,None,None
15,0,0,14:47:54.1306112,None,None,None,None
16,0,0,14:47:54.1635968,None,None,None,None
17,0,0,14:47:54.1972864,None,None,None,None
18,0,0,14:47:54.2303232,None,None,None,None
19,0,0,14:47:54.2640128,None,None,None,None
20,0,0,14:47:54.2969216,None,None,None,None
21,0,0,14:47:54.3306880,None,None,None,None
22,0,0,14:47:54.3635840,None,None,None,None
23,0,0,14:47:54.4000768,None,None,None,None
24,0,0,14:47:54.4306944,None,None,None,None
25,0,0,14:47:54.4635136,None,None,None,None
26,0,0,14:47:54.4969344,None,None,None,None
27,0,0,14:47:54.5303296,None,None,None,None
28,0,0,14:47:54.5638912,None,None,None,None
29,0,0,14:47:54.5969536,None,None,None,None
30,0,0,14:47:54.6303232,None,None,None,None
31,0,0,14:47:54.6637696,None,None,None,None
32,0,0,14:47:54.6971008,None,None,None,None
33,0,0,14:47:54.7305600,None,None,None,None
34,0,0,14:47:54.7636608,None,None,None,None
35,0,0,14:47:54.7969536,None,None,None,None
36,0,0,14:47:54.8306304,None,None,None,None
37,0,0,14:47:54.8640000,None,None,None,None
38,0,0,14:47:54.8969728,None,None,None,None
39,0,0,14:47:54.9302784,None,None,None,None
40,0,0,14:47:54.9635968,None,None,None,None
41,0,0,14:47:54.9970176,None,None,None,None
42,0,0,14:47:55.0304384,None,None,None,None
43,0,0,14:47:55.0636800,None,None,None,None
44,0,0,14:47:55.0970368,None,None,None,None
45,0,0,14:47:55.1303808,None,None,None,None
46,0,0,14:47:55.1637120,None,None,None,None
47,0,0,14:47:55.1970688,None,None,None,None
48,0,0,14:47:55.2306432,None,None,None,None
49,0,0,14:47:55.2637184,None,None,None,None
50,0,0,14:47:55.2970240,None,None,None,None
51,0,0,14:47:55.3304704,None,None,None,None
52,0,0,14:47:55.3639424,None,None,None,None
53,0,0,14:47:55.3970944,None,None,None,None
54,0,0,14:47:55.4304000,None,None,None,None
55,0,0,14:47:55.4637184,None,None,None,None
56,0,0,14:47:55.4971136,None,None,None,None
57,0,0,14:47:55.5306112,None,None,None,None
58,0,0,14:47:55.5644800,None,None,None,None
59,0,0,14:47:55.5971072,None,None,None,None
60,0,0,14:47:55.6304256,None,None,None,None
61,0,0,14:47:55.6638336,None,None,None,None
62,0,0,14:47:55.6971136,None,None,None,None
63,0,0,14:47:55.7304320,None,None,None,None
64,0,0,14:47:55.7637888,None,None,None,None
65,0,0,14:47:55.7973120,None,None,None,None
66,0,0,14:47:55.8305024,None,None,None,None
67,0,0,14:47:55.8638464,None,None,None,None
68,0,0,14:47:55.8971392,None,None,None,None
69,0,0,14:47:55.9307392,None,None,None,None
70,0,0,14:47:55.9638016,None,None,None,None
71,0,0,14:47:55.9971456,None,None,None,None
72,0,0,14:47:56.0304768,None,None,None,None
73,0,0,14:47:56.0638464,None,None,None,None
74,0,0,14:47:56.0973440,None,None,None,None
75,0,0,14:47:56.1305088,None,None,None,None
76,0,0,14:47:56.1638528,None,None,None,None
77,0,0,14:47:56.1971968,None,None,None,None
78,0,0,14:47:56.2308096,None,None,None,None
79,0,0,14:47:56.2638464,None,None,None,None
80,0,0,14:47:56.2971648,None,None,None,None
81,0,0,14:47:56.3304832,None,None,None,None
82,0,0,14:47:56.3639424,None,None,None,None
83,0,0,14:47:56.3974272,None,None,None,None
84,0,0,14:47:56.4305536,None,None,None,None
85,0,0,14:47:56.4638720,None,None,None,None
86,0,0,14:47:56.4973312,None,None,None,None
87,0,0,14:47:56.5308928,None,None,None,None
88,0,0,14:47:56.5638656,None,None,None,None
89,0,0,14:47:56.5972224,None,None,None,None
90,0,0,14:47:56.6306432,None,None,None,None
91,0,0,14:47:56.6639616,None,None,None,None
92,0,0,14:47:56.6972416,None,None,None,None
93,0,0,14:47:56.7305600,None,None,None,None
94,0,0,14:47:56.7639040,None,None,None,None
95,0,0,14:47:56.7972608,None,None,None,None
96,0,0,14:47:56.8306176,None,None,None,None
97,0,0,14:47:56.8638976,None,None,None,None
98,0,0,14:47:56.8974976,None,None,None,None
99,0,0,14:47:56.9306112,None,None,None,None
100,0,0,14:47:56.9639296,None,None,None,None
101,0,0,14:47:56.9973376,None,None,None,None
102,0,0,14:47:57.0308992,None,None,None,None
103,0,0,14:47:57.0640256,None,None,None,None
104,0,0,14:47:57.0972672,None,None,None,None
105,0,0,14:47:57.1305984,None,None,None,None
106,0,0,14:47:57.1639936,None,None,None,None
107,0,0,14:47:57.1975680,None,None,None,None
108,0,0,14:47:57.2308352,None,None,None,None
109,0,0,14:47:57.2640000,None,None,None,None
110,0,0,14:47:57.2973184,None,None,None,None
111,0,0,14:47:57.3306496,None,None,None,None
112,0,0,14:47:57.3643392,None,None,None,None
113,0,0,14:47:57.3972736,None,None,None,None
114,0,0,14:47:57.4306816,None,None,None,None
115,0,0,14:47:57.4639744,None,None,None,None
116,0,0,14:47:57.4973312,None,None,None,None
117,0,0,14:47:57.5309952,None,None,None,None
118,0,0,14:47:57.5640704,None,None,None,None
119,0,0,14:47:57.5974144,None,None,None,None
120,0,0,14:47:57.6307072,None,None,None,None
121,0,0,14:47:57.6643968,None,None,None,None
122,0,0,14:47:57.6973568,None,None,None,None
