pulse1,pulse2,timestamp,syncpulse,state,trialtype,trialstarttime,bpod_time_ms,lickframe
0,0,19:05:27.7466624,None,None,None,,,0
0,0,19:05:27.7799040,None,None,None,,,0
0,0,19:05:27.8131584,None,None,None,,,0
0,0,19:05:27.8465408,None,None,None,,,0
0,0,19:05:27.8801280,None,None,None,,,0
0,0,19:05:27.9132160,None,None,None,,,0
0,0,19:05:27.9465984,None,None,None,,,0
0,0,19:05:27.9798656,None,None,None,,,0
0,0,19:05:28.0131968,None,None,None,,,0
0,0,19:05:28.0465536,None,None,None,,,0
0,0,19:05:28.0799104,None,None,None,,,0
0,0,19:05:28.1131648,None,None,None,,,0
0,0,19:05:28.1465344,None,None,None,,,0
0,0,19:05:28.1799040,None,None,None,,,0
0,0,19:05:28.2132096,None,None,None,,,0
0,0,19:05:28.2468096,None,None,None,,,0
0,0,19:05:28.2800512,None,None,None,,,0
0,0,19:05:28.3132160,None,None,None,,,0
0,0,19:05:28.3465600,None,None,None,,,0
0,0,19:05:28.3799296,None,None,None,,,0
0,0,19:05:28.4135552,None,None,None,,,0
0,0,19:05:28.4465536,None,None,None,,,0
0,0,19:05:28.4799744,None,None,None,,,0
0,0,19:05:28.5132416,None,None,None,,,0
0,0,19:05:28.5465728,None,None,None,,,0
0,0,19:05:28.5801728,None,None,None,,,0
0,0,19:05:28.6132608,None,None,None,,,0
0,0,19:05:28.6468992,None,None,None,,,0
0,0,19:05:28.6802432,None,None,None,,,0
0,0,19:05:28.7133184,None,None,None,,,0
0,0,19:05:28.7466112,None,None,None,,,0
0,0,19:05:28.7799424,None,None,None,,,0
0,0,19:05:28.8135168,None,None,None,,,0
0,0,19:05:28.8466304,None,None,None,,,0
0,0,19:05:28.8799360,None,None,None,,,0
0,0,19:05:28.9133184,None,None,None,,,0
0,0,19:05:28.9467776,None,None,None,,,0
0,0,19:05:28.9801344,None,None,None,,,0
0,0,19:05:29.0132992,None,None,None,,,0
0,0,19:05:29.0466688,None,None,None,,,0
0,0,19:05:29.0800128,None,None,None,,,0
0,0,19:05:29.1136384,None,None,None,,,0
0,0,19:05:29.1466624,None,None,None,,,0
0,0,19:05:29.1800064,None,None,None,,,0
0,0,19:05:29.2133888,None,None,None,,,0
0,0,19:05:29.2467328,None,None,None,,,0
0,0,19:05:29.2800000,None,None,None,,,0
0,0,19:05:29.3133440,None,None,None,,,0
0,0,19:05:29.3466880,None,None,None,,,0
0,0,19:05:29.3800576,None,None,None,,,0
0,0,19:05:29.4135680,None,None,None,,,0
0,0,19:05:29.4466816,None,None,None,,,0
0,0,19:05:29.4800384,None,None,None,,,0
0,0,19:05:29.5133696,None,None,None,,,0
