,pulse1,pulse2,timestamp,syncpulse,state,trialtype,trialstarttime
0,0,0,16:43:32.8476416,None,None,None,None
1,0,0,16:43:32.8789120,None,None,None,None
2,0,0,16:43:32.9123200,None,None,None,None
3,0,0,16:43:32.9455744,None,None,None,None
4,0,0,16:43:32.9814656,None,None,None,None
5,0,0,16:43:33.0120832,None,None,None,None
6,0,0,16:43:33.0454912,None,None,None,None
7,0,0,16:43:33.0789120,None,None,None,None
8,0,0,16:43:33.1121408,None,None,None,None
9,0,0,16:43:33.1454848,None,None,None,None
10,0,0,16:43:33.1790592,None,None,None,None
11,0,0,16:43:33.2124032,None,None,None,None
12,0,0,16:43:33.2459392,None,None,None,None
13,0,0,16:43:33.2791808,None,None,None,None
14,0,0,16:43:33.3122176,None,None,None,None
15,0,0,16:43:33.3454976,None,None,None,None
16,0,0,16:43:33.3789312,None,None,None,None
17,0,0,16:43:33.4128896,None,None,None,None
18,0,0,16:43:33.4457728,None,None,None,None
19,0,0,16:43:33.4788096,None,None,None,None
20,0,0,16:43:33.5123072,None,None,None,None
21,0,0,16:43:33.5456512,None,None,None,None
22,0,0,16:43:33.5790336,None,None,None,None
23,0,0,16:43:33.6122112,None,None,None,None
24,0,0,16:43:33.6461952,None,None,None,None
25,0,0,16:43:33.6789504,None,None,None,None
26,0,0,16:43:33.7123072,None,None,None,None
27,0,0,16:43:33.7457408,None,None,None,None
28,0,0,16:43:33.7790080,None,None,None,None
29,0,0,16:43:33.8123264,None,None,None,None
30,0,0,16:43:33.8457472,None,None,None,None
31,0,0,16:43:33.8790272,None,None,None,None
32,0,0,16:43:33.9125248,None,None,None,None
33,0,0,16:43:33.9455360,None,None,None,None
34,0,0,16:43:33.9793920,None,None,None,None
35,0,0,16:43:34.0126464,None,None,None,None
36,0,0,16:43:34.0457600,None,None,None,None
37,0,0,16:43:34.0788992,None,None,None,None
38,0,0,16:43:34.1122176,None,None,None,None
39,0,0,16:43:34.1455488,None,None,None,None
40,0,0,16:43:34.1792512,None,None,None,None
41,0,0,16:43:34.2123520,None,None,None,None
42,0,0,16:43:34.2456448,None,None,None,None
43,0,0,16:43:34.2789376,None,None,None,None
44,0,0,16:43:34.3124352,None,None,None,None
45,0,0,16:43:34.3457536,None,None,None,None
46,0,0,16:43:34.3789312,None,None,None,None
47,0,0,16:43:34.4127744,None,None,None,None
48,0,0,16:43:34.4460672,None,None,None,None
49,0,0,16:43:34.4789760,None,None,None,None
50,0,0,16:43:34.5123200,None,None,None,None
51,0,0,16:43:34.5456384,None,None,None,None
52,0,0,16:43:34.5795968,None,None,None,None
53,0,0,16:43:34.6123520,None,None,None,None
54,0,0,16:43:34.6456832,None,None,None,None
55,0,0,16:43:34.6791296,None,None,None,None
56,0,0,16:43:34.7122944,None,None,None,None
57,0,0,16:43:34.7457792,None,None,None,None
58,0,0,16:43:34.7789312,None,None,None,None
59,0,0,16:43:34.8130560,None,None,None,None
60,0,0,16:43:34.8461312,None,None,None,None
61,0,0,16:43:34.8791296,None,None,None,None
62,0,0,16:43:34.9122944,None,None,None,None
63,0,0,16:43:34.9458176,None,None,None,None
64,0,0,16:43:34.9792768,None,None,None,None
65,0,0,16:43:35.0123264,None,None,None,None
66,0,0,16:43:35.0460928,None,None,None,None
67,0,0,16:43:35.0789888,None,None,None,None
68,0,0,16:43:35.1125120,None,None,None,None
69,0,0,16:43:35.1458816,None,None,None,None
70,0,0,16:43:35.1791360,None,None,None,None
71,0,0,16:43:35.2124672,None,None,None,None
72,0,0,16:43:35.2458112,None,None,None,None
73,0,0,16:43:35.2790144,None,None,None,None
74,0,0,16:43:35.3123584,None,None,None,None
75,0,0,16:43:35.3458560,None,None,None,None
76,0,0,16:43:35.3790464,None,None,None,None
77,0,0,16:43:35.4130048,None,None,None,None
78,0,0,16:43:35.4463104,None,None,None,None
79,0,0,16:43:35.4791040,None,None,None,None
80,0,0,16:43:35.5124736,None,None,None,None
81,0,0,16:43:35.5456640,None,None,None,None
82,0,0,16:43:35.5794944,None,None,None,None
83,0,0,16:43:35.6126720,None,None,None,None
84,0,0,16:43:35.6458368,None,None,None,None
85,0,0,16:43:35.6792448,None,None,None,None
86,0,0,16:43:35.7126272,None,None,None,None
87,0,0,16:43:35.7459072,None,None,None,None
88,0,0,16:43:35.7791232,None,None,None,None
89,0,0,16:43:35.8126080,None,None,None,None
90,0,0,16:43:35.8458240,None,None,None,None
91,0,0,16:43:35.8791040,None,None,None,None
92,0,0,16:43:35.9124864,None,None,None,None
93,0,0,16:43:35.9460224,None,None,None,None
94,0,0,16:43:35.9791360,None,None,None,None
95,0,0,16:43:36.0131712,None,None,None,None
96,0,0,16:43:36.0457984,None,None,None,None
97,0,0,16:43:36.0792576,None,None,None,None
98,0,0,16:43:36.1126144,None,None,None,None
99,0,0,16:43:36.1458560,None,None,None,None
100,0,0,16:43:36.1791872,None,None,None,None
101,0,0,16:43:36.2125440,None,None,None,None
102,0,0,16:43:36.2459648,None,None,None,None
103,0,0,16:43:36.2792576,None,None,None,None
104,0,0,16:43:36.3125248,None,None,None,None
